Customer_Name,Renewal_Date,Customer_Review,Net_Promoter_Score
Net Pacific Bell,2013-06-01,"Your vendor partnership has been approved and accepted by Amazon. In case your Amazon order isn't available yet this email will be sent to you.

In the following section we will examine the following details with an emphasis on the technical",2
Future Studio Architecture,2019-09-01,"Your team responded to our requests in a less than ideal fashion. You didn't really show any respect!


1 month later, you responded with something close to a ""No Problem!"" Thank you for taking the time to answer",9
Medicine Hill Provider,2018-06-01,"Your customer success this past quarter has been phenomenal. Your company continues to develop the products and processes within the service, to bring us all closer together. I must say…it's impressive!

Thanks!

Kath",9
Architecture Software Signal,2019-03-01,"To be honest I am kind of upset with myself for not writing an in-depth review on this product sooner, and more importantly, the price tag. While having had the same experience for years I did have a desire to get it. If you have been following my review,",4
Interactive Building Electronics,2015-03-01,"Your team responded to our requests in a matter of 3.5 hours, and it's going to help us all to get product development to the next level. Thanks for letting us know you liked it!",9
Studio Application Digital,2012-03-01, ,7
Internet Alpha,2020-11-01,"Your product support was effective. Your team is competent and motivated. Your support materials are informative and concise. Read our Customer Service Recommendations to make sure you'll love your new device.

We also look for good product design",9
Future People Application,2020-09-01,"Our experience with your software product was excellent; you gave us a very reasonable estimate of your production costs, and we were quite pleased to be able to offer those costs at a reasonable price which we were able to lower to no additional",9
Signal People,2020-03-01, ,7
Graphics Resource Pacific,2022-08-01,"My team enjoyed your software for the most part, but found it confusing and repetitive. Are you planning to develop more of a documentation system based to provide more information?

JL: We do plan on developing documentation software.",5
Future Electronics,2013-11-01,"In terms of success, your software has been deemed to be reliable but not great by some. In terms of what would be your thoughts when it comes to testing, and if it's worth it, is it worth paying to get",8
Internet South Vision,2021-06-01,"My team enjoyed your software for the most part, but found it lacking in certain respects. What went wrong? Is your company currently using this product or would you like to test it? What do you propose the product is for?",3
Venture Internet Analysis,2015-07-01, ,7
North Medicine Galaxy,2012-12-01,Our experience with your software product was very positive. I am using the new software from RethinkDB again and you have a fantastic product. The best part is that the reviews are very informative. I am enjoying your company's,6
